,id,dealerName,roundCode,resultRaw,betTypeResult
1,520922,Jasmine,58809301,"2,3,6","BIG,ODD,"
1,520923,Jasmine,58809360,"3,3,6","BIG,EVEN,"
1,520924,Jasmine,58809415,"1,1,5","SMALL,ODD,"
1,520925,Jasmine,58809473,"1,2,3","SMALL,EVEN,"
1,520926,Jasmine,58809525,"2,3,4","SMALL,ODD,"
1,520927,Jasmine,58809580,"1,4,4","SMALL,ODD,"
1,520928,Jasmine,58809632,"3,5,5","BIG,ODD,"
1,520929,Jasmine,58809688,"2,4,5","BIG,ODD,"
1,520930,Jasmine,58809742,"1,3,4","SMALL,EVEN,"
149,536689,Mazie,59726470,"2,2,3","SMALL,ODD,"
148,536690,Mazie,59726525,"1,3,4","SMALL,EVEN,"
147,536691,Mazie,59726582,"1,3,5","SMALL,ODD,"
146,536692,Mazie,59726638,"1,1,6","SMALL,EVEN,"
145,536693,Mazie,59726693,"1,3,3","SMALL,ODD,"
144,536694,Mazie,59726753,"4,5,6","BIG,ODD,"
143,536695,Mazie,59726809,"3,6,6","BIG,ODD,"
142,536696,Mazie,59726865,"5,5,5","BIG,ODD,"
141,536697,Mazie,59726920,"2,3,6","BIG,ODD,"
140,536698,Mazie,59726971,"3,4,5","BIG,EVEN,"
139,536699,Mazie,59727028,"1,3,5","SMALL,ODD,"
138,536700,Mazie,59727085,"4,5,5","BIG,EVEN,"
137,536701,Mazie,59727149,"3,4,6","BIG,ODD,"
136,536702,Mazie,59727204,"1,3,6","SMALL,EVEN,"
135,536703,Mazie,59727262,"1,2,4","SMALL,ODD,"
134,536704,Mazie,59727317,"4,4,4","BIG,EVEN,"
133,536705,Mazie,59727378,"1,2,5","SMALL,EVEN,"
132,536706,Angela,59727439,"5,5,6","BIG,EVEN,"
131,536707,Angela,59727498,"1,2,4","SMALL,ODD,"
130,536708,Angela,59727550,"1,2,6","SMALL,ODD,"
129,536709,Angela,59727606,"1,2,5","SMALL,EVEN,"
128,536710,Angela,59727664,"3,4,6","BIG,ODD,"
127,536711,Angela,59727716,"4,5,6","BIG,ODD,"
126,536712,Angela,59727772,"2,3,4","SMALL,ODD,"
125,536713,Angela,59727832,"1,3,3","SMALL,ODD,"
124,536714,Angela,59727883,"2,3,4","SMALL,ODD,"
123,536715,Angela,59727936,"1,1,1","SMALL,ODD,"
122,536716,Angela,59727987,"3,5,5","BIG,ODD,"
121,536717,Angela,59728045,"1,2,4","SMALL,ODD,"
120,536718,Angela,59728098,"2,3,5","SMALL,EVEN,"
119,536719,Angela,59728151,"1,3,5","SMALL,ODD,"
118,536720,Angela,59728212,"1,1,4","SMALL,EVEN,"
117,536721,Angela,59728266,"1,2,5","SMALL,EVEN,"
116,536722,Angela,59728317,"3,3,6","BIG,EVEN,"
115,536723,Angela,59728379,"1,3,6","SMALL,EVEN,"
114,536724,Angela,59728430,"4,6,6","BIG,EVEN,"
113,536725,Angela,59728488,"2,2,5","SMALL,ODD,"
112,536726,Sugar,59728555,"1,3,4","SMALL,EVEN,"
111,536727,Sugar,59728616,"1,2,3","SMALL,EVEN,"
110,536728,Sugar,59728673,"2,4,5","BIG,ODD,"
109,536729,Sugar,59728732,"3,3,5","BIG,ODD,"
108,536730,Sugar,59728787,"2,2,4","SMALL,EVEN,"
107,536731,Sugar,59728843,"2,5,6","BIG,ODD,"
106,536732,Sugar,59728894,"1,2,3","SMALL,EVEN,"
105,536733,Sugar,59728952,"1,5,6","BIG,EVEN,"
104,536734,Sugar,59729010,"1,2,4","SMALL,ODD,"
103,536735,Sugar,59729062,"1,2,3","SMALL,EVEN,"
102,536736,Sugar,59729119,"3,3,5","BIG,ODD,"
101,536737,Sugar,59729175,"1,5,6","BIG,EVEN,"
100,536738,Sugar,59729235,"3,5,5","BIG,ODD,"
99,536739,Sugar,59729290,"1,3,5","SMALL,ODD,"
